gvkey,iid,datadate,tic,prccd
170617,01,2018-07-26,META,176.26000000
170617,01,2018-07-27,META,174.89000000
170617,01,2018-07-30,META,171.06000000
170617,01,2018-07-31,META,172.58000000
170617,01,2018-08-01,META,171.65000000
170617,01,2018-08-02,META,176.37000000
170617,01,2018-08-03,META,177.78000000
170617,01,2018-08-06,META,185.69000000
170617,01,2018-08-07,META,183.81000000
170617,01,2018-08-08,META,185.18000000
170617,01,2018-08-09,META,183.09000000
170617,01,2018-08-10,META,180.26000000
170617,01,2018-08-13,META,180.05000000
170617,01,2018-08-14,META,181.11000000
170617,01,2018-08-15,META,179.53000000
170617,01,2018-08-16,META,174.70000000
170617,01,2018-08-17,META,173.80000000
170617,01,2018-08-20,META,172.50000000
170617,01,2018-08-21,META,172.62000000
170617,01,2018-08-22,META,173.64000000
170617,01,2018-08-23,META,172.90000000
170617,01,2018-08-24,META,174.64500000
170617,01,2018-08-27,META,177.46000000
170617,01,2018-08-28,META,176.26000000
170617,01,2018-08-29,META,175.90000000
170617,01,2018-08-30,META,177.64000000
170617,01,2018-08-31,META,175.73000000
170617,01,2018-09-04,META,171.16000000
170617,01,2018-09-05,META,167.18000000
170617,01,2018-09-06,META,162.53000000
170617,01,2018-09-07,META,163.04000000
170617,01,2018-09-10,META,164.18000000
170617,01,2018-09-11,META,165.94000000
170617,01,2018-09-12,META,162.00000000
170617,01,2018-09-13,META,161.36000000
170617,01,2018-09-14,META,162.32000000
170617,01,2018-09-17,META,160.58000000
170617,01,2018-09-18,META,160.30000000
170617,01,2018-09-19,META,163.06000000
170617,01,2018-09-20,META,166.02000000
170617,01,2018-09-21,META,162.93000000
170617,01,2018-09-24,META,165.41000000
170617,01,2018-09-25,META,164.91000000
170617,01,2018-09-26,META,166.95000000
170617,01,2018-09-27,META,168.84000000
170617,01,2018-09-28,META,164.46000000
170617,01,2018-10-01,META,162.44000000
170617,01,2018-10-02,META,159.33000000
170617,01,2018-10-03,META,162.43000000
170617,01,2018-10-04,META,158.85000000
170617,01,2018-10-05,META,157.33000000
170617,01,2018-10-08,META,157.25000000
170617,01,2018-10-09,META,157.90000000
170617,01,2018-10-10,META,151.38000000
170617,01,2018-10-11,META,153.35000000
170617,01,2018-10-12,META,153.74000000
170617,01,2018-10-15,META,153.52000000
170617,01,2018-10-16,META,158.78000000
170617,01,2018-10-17,META,159.42000000
170617,01,2018-10-18,META,154.92000000
170617,01,2018-10-19,META,154.05000000
170617,01,2018-10-22,META,154.78000000
170617,01,2018-10-23,META,154.39000000
170617,01,2018-10-24,META,146.04000000
170617,01,2018-10-25,META,150.95000000
170617,01,2018-10-26,META,145.37000000
170617,01,2018-10-29,META,142.09000000
170617,01,2018-10-30,META,146.22000000
170617,01,2018-10-31,META,151.79000000
170617,01,2018-11-01,META,151.75000000
170617,01,2018-11-02,META,150.35000000
170617,01,2018-11-05,META,148.68000000
170617,01,2018-11-06,META,149.94000000
170617,01,2018-11-07,META,151.53000000
170617,01,2018-11-08,META,147.87000000
170617,01,2018-11-09,META,144.96000000
170617,01,2018-11-12,META,141.55000000
170617,01,2018-11-13,META,142.16000000
170617,01,2018-11-14,META,144.22000000
170617,01,2018-11-15,META,143.85000000
170617,01,2018-11-16,META,139.53000000
170617,01,2018-11-19,META,131.55000000
170617,01,2018-11-20,META,132.43000000
